# Athena++ data at time=1.000000e-01  cycle=242  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3         Bcc1         Bcc2         Bcc3     
0165  1.38672e-01  2.08923e-01  3.12651e-01  3.81572e-01 -1.12743e+00  0.00000e+00  7.50000e-01 -7.06187e-01  0.00000e+00
0166  1.42578e-01  1.75442e-01  2.16980e-01  2.04325e-01 -8.53621e-01  0.00000e+00  7.50000e-01 -7.76867e-01  0.00000e+00
0167  1.46484e-01  1.44935e-01  1.41078e-01  9.07468e-03 -5.68624e-01  0.00000e+00  7.50000e-01 -8.34313e-01  0.00000e+00
0168  1.50391e-01  1.27857e-01  1.06764e-01 -1.39041e-01 -3.64766e-01  0.00000e+00  7.50000e-01 -8.66113e-01  0.00000e+00
0169  1.54297e-01  1.20530e-01  9.48132e-02 -2.16861e-01 -2.61851e-01  0.00000e+00  7.50000e-01 -8.80025e-01  0.00000e+00
0170  1.58203e-01  1.17643e-01  9.07000e-02 -2.49710e-01 -2.19105e-01  0.00000e+00  7.50000e-01 -8.85438e-01  0.00000e+00
0171  1.62109e-01  1.16571e-01  8.92722e-02 -2.62247e-01 -2.02879e-01  0.00000e+00  7.50000e-01 -8.87443e-01  0.00000e+00
0172  1.66016e-01  1.16184e-01  8.87686e-02 -2.66819e-01 -1.96932e-01  0.00000e+00  7.50000e-01 -8.88178e-01  0.00000e+00
0173  1.69922e-01  1.16045e-01  8.85892e-02 -2.68443e-01 -1.94765e-01  0.00000e+00  7.50000e-01 -8.88454e-01  0.00000e+00
0174  1.73828e-01  1.15997e-01  8.85249e-02 -2.68996e-01 -1.93957e-01  0.00000e+00  7.50000e-01 -8.88568e-01  0.00000e+00
0175  1.77734e-01  1.15980e-01  8.85019e-02 -2.69158e-01 -1.93630e-01  0.00000e+00  7.50000e-01 -8.88627e-01  0.00000e+00
0176  1.81641e-01  1.15976e-01  8.84940e-02 -2.69171e-01 -1.93469e-01  0.00000e+00  7.50000e-01 -8.88670e-01  0.00000e+00
0177  1.85547e-01  1.15976e-01  8.84919e-02 -2.69122e-01 -1.93359e-01  0.00000e+00  7.50000e-01 -8.88711e-01  0.00000e+00
0178  1.89453e-01  1.15978e-01  8.84926e-02 -2.69036e-01 -1.93258e-01  0.00000e+00  7.50000e-01 -8.88757e-01  0.00000e+00
